account_creation_date,bot_or_not,clean_tweet_text,follower_count,following_count,tweet_text,tweet_time,tweetid,user_profile_description,user_reported_location,user_screen_name
2017-08-30,1,pro regime bahraini journalist appears on israeli news channel amid efforts to normalize ties with israel,2924,1305,Pro-regime #Bahraini journalist appears on #Israeli news channel amid efforts to normalize ties with #Israel  https://t.co/LiElO3VH4S https://t.co/ozFQMt6NLz,2017-10-26 21:27,923662299293978624,Chief Editor of IUVM Online #News Agency                            :   #Syria - #Iraq - #Palestine - #Lebanon -#Iran,"England, United Kingdom",4a810dd520182c19d799b3028f640fe05fd23d78c964fb9af80d73625dcd6c51
2013-05-20,1,the isis beheading that never was the peterkassig killing and western war propaganda,2364,1160,The #ISIS Beheading That Never Was? – The #PeterKassig Killing And Western War #Propaganda http://t.co/w88Xp7iNCz,2014-11-20 10:41,535382537632088066,Unbiased News Reported by Users along our Own Reporters,United Kingdom,cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb
2013-05-20,1,isis harvests the organs of yazidi sexslaves to fund terror campaign,2364,1160,#ISIS 'Harvests The Organs Of #Yazidi #SexSlaves To Fund Terror Campaign' http://t.co/1ZyO8E3rAp,2015-08-21 15:36,634750957193154560,Unbiased News Reported by Users along our Own Reporters,United Kingdom,cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb
2013-05-20,1,four new ozone destroying gases found in atmosphere,2364,1160,Four New #Ozone-Destroying Gases Found in Atmosphere http://t.co/T8bERQJgSU,2014-03-11 04:49,443247395476733952,Unbiased News Reported by Users along our Own Reporters,United Kingdom,cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb
2013-05-20,1,abbas calls oslo accords dead and blasts u s damn your money gaza via cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb,2364,1160,Abbas Calls Oslo Accords Dead and Blasts U.S.: ‘Damn Your Money!’ #Gaza https://t.co/Oy79zlIhdS via @cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb,2018-01-16 07:56,953174021658394624,Unbiased News Reported by Users along our Own Reporters,United Kingdom,cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb
2013-05-20,1,the corporate war on subsistence mexico s insertion in neoliberal globalisation increased the people s suffering,2364,1160,The Corporate War on Subsistence: #Mexico’s Insertion in Neoliberal #Globalisation Increased the People’s Suffering http://t.co/vYUfOJSWFI,2015-02-16 18:21,567388296162979840,Unbiased News Reported by Users along our Own Reporters,United Kingdom,cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb
2017-02-15,1,in africa average daily power supply is estimated at 4 it means that some days they should like without any electricity tonyawards bakeoffargentina bethesda luismiguellaserie fallout76 elinformantetvn bethesdae3 posefx westworld,4336,82,"In #Africa, Average daily power supply is estimated at 4. It means that some days they should like without any #electricity. #TonyAwards #BakeOffArgentina #Bethesda #LuisMiguelLaSerie #Fallout76 #ElInformanteTVN #BethesdaE3 #PoseFX #Westworld    https://t.co/E7Z3hQ9OQI https://t.co/6QdNHIqp4M",2018-06-11 03:40,1006018287703150593,Economic Divide - A weekly look into economic issues around the globe - Hosted by @KavehTaghvai,Islamic Republic of Iran,e3564a01bca8a00ef2f377c0582cd2f7026805b2df6d741306c70617cc49a40b
2018-04-28,1,this is 21 year old palestinian nurse razan al najjar who was shot and killed today as she heroically risked her life by rushing to help an injured protestor in gaza gaza gazamassacre freepalestine,816,1488,This is 21-year-old Palestinian nurse Razan al-Najjar who was shot and killed today as she heroically risked her life by rushing to help an injured protestor in Gaza. #Gaza #GazaMassacre #FreePalestine https://t.co/ja8itdlcOb,2018-06-02 11:32,1002875576745648128,Proudly followed by @funder and @ProudResister and @TheDemCoalition 👍💙🌊 #TheResistance #ImpeachTrump #FBR,"Houston, TX",69072545a9cc67894d5dd636770f4222e15cd29f5a3cb6053f98e214369b4f63
2013-05-20,1,israel pushes nba to delete occupied palestine from website via cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb,2364,1160,Israel pushes NBA to delete ‘Occupied Palestine’ from website https://t.co/3JiBWZ0KuY via @cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb,2017-12-31 10:17,947411343904333825,Unbiased News Reported by Users along our Own Reporters,United Kingdom,cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb
2013-05-20,1,cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb us extends iran oil sanctions waivers,2364,1160,cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb - US Extends Iran Oil Sanctions Waivers: http://t.co/b23fWyAelJ,2013-11-30 04:28,406640866275520512,Unbiased News Reported by Users along our Own Reporters,United Kingdom,cfb431d28838bc87b3473081cc5899cfede8252c2015644ffeccd7b27b1149fb
