,account_creation_date,bot_or_not,clean_tweet_text,follower_count,following_count,tweet_text,tweet_time,tweetid,user_profile_description,user_reported_location,user_screen_name
0,2014-10-26,1,the_edge heyits_luke yeah it s your job duties,22026,12966,@the_edge @HeyIts_Luke yeah it's your job duties,2015-09-27 11:46,648101329898868736,#Hashtag warrior | I follow back | Bacon is my one true love | Contact me: sparksandrew6@gmail.com or DMs,I AM A CITIZEN OF THE UNIVERSE,AndyHashtagger
1,2013-09-22,1,when i get down on my knees it is not to pray,97,107,"When I get down on my knees, it is not to pray",2015-02-11 14:53,565524125888704512,,United States,8a4abeede90e00b904a8d1263a1b7c60e378dc843d3afa962c0756f66f8335a4
2,2014-06-21,1,firefighters extinguish house fire in southeast houston news,22823,5483,Firefighters extinguish house fire in southeast Houston  #news,2015-11-21 01:52,667883229102215169,"Houston top news and stories, powered 24/7","Houston, TX",HoustonTopNews
3,2014-06-05,1,you ll be sorry if you slam my mercedes door again love rap,4559,3506,You'll be sorry if you slam my mercedes door again #love #rap,2014-11-02 08:19,528823696790523904,"I have not failed. I've just found 10,000 ways that won't work",Montgomery,9db51e914e3697f417f9c4c25d901767a19e09ce4c07a316dd6e451ffb208d59
4,2013-08-06,1,if someone is strong enough to bring you down show them you re strong enough to get back up dailyteen,101,103,"If someone is strong enough to bring you down, show them you’re strong enough to get back up. #dailyteen",2015-02-02 17:33,562302714127060992,"Miracles happen everyday, change your perception of what a miracle is and you'll see them all around you.",United States,31a9f54a48d99b5d59b45a5ddead80701a36f4aed96712f99b71a27167cb4fe6
5,2014-08-27,1,3 men convicted of misdemeanors in 2013 skydive from 1 world trade center news,66980,10500,3 Men Convicted of Misdemeanors in 2013 Skydive From 1 World Trade Center  #news,2015-06-23 00:16,613138585022107648,"New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM","New York, NY",TodayNYCity
6,2014-05-14,1,suit over controversial high school playoff game goes before judge wednesday,23595,13665,Suit over controversial high school playoff game goes before judge Wednesday https://t.co/6fRkbrNah1 https://t.co/I3aKcqqq4x,2016-11-23 02:12,801247026537185280,"Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7","Chicago, IL",ChicagoDailyNew
7,2014-03-22,1,to my mind sun and sky are still over,61,33,to my mind sun and sky are still over,2014-08-15 21:01,500386708148736000,,New Jersey,28decfccddd84f67c4f47019afb636ad3d347a32482811038478ff8b09e345ba
8,2014-08-27,1,brooklyn school closed for day over facebook shooting threat newyork,66980,10500,Brooklyn school closed for day over Facebook shooting threat  #NewYork,2015-11-04 17:58,661965860626534400,"New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM","New York, NY",TodayNYCity
9,2014-08-27,1,long island doctor mocked employee who had cancer lawsuit health,66980,10500,Long Island doctor mocked employee who had cancer: lawsuit  #health,2015-02-19 08:02,568319687752167425,"New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM","New York, NY",TodayNYCity
10,2014-04-14,1,you say you wanted more,57,76,You say you wanted more,2014-08-20 04:25,501948031902965761,,Houston,d7d0526698e9cbf2fdd14e3f12e5dd77c5794c28939289086d6c8df89a815359
11,2014-05-08,1,among women truth oh you don t know truth is it not an attempt to kill our modesty,68,91,"Among women: Truth?     Oh, you don't know truth!     Is it not an attempt to kill our modesty?",2014-08-09 13:02,498091831448838144,," East Aurora, New York",993de2d5b1be2ccc31c54d830d5ffd2c6de2e3d53059a1956b7c5b62c5dfa442
12,2015-06-10,1,to many liberals on suprime court thanks obama lynnsweet katbotmemes torianbrown dumbass_obama agarwal_pooja35,22,4,To many liberals on suprime court Thanks obama @lynnsweet @katbotmemes @TorianBrown @Dumbass_Obama @Agarwal_Pooja35 http://t.co/8aVAPZAHzI,2015-06-14 15:22,610104932922830848,Political Discussion,"Washington, DC",d9a2df2138b848f6c1b9c78d29b8daa0dce18a0e2270301ad5fdd8148094734c
13,2016-06-15,1,boycottunitedairlines newunitedairlinesmottos tuesdaymotivation maga united,2748,265,🚨✈#BoycottUnitedAirlines✈🚨 🚨#NewUnitedAirlinesMottos🚨 🚨#TuesdayMotivation🚨 🚨🇺🇸#MAGA🇺🇸🚨 @United https://t.co/tDcmyDv970,2017-04-11 08:43,851717290215256064,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,United States,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845
