account_creation_date,bot_or_not,clean_tweet_text,follower_count,following_count,tweet_text,tweet_time,tweetid,user_profile_description,user_reported_location,user_screen_name
2017-07-10,1,look who kamala harris will have to fight out for the dem nomination,470,1852,Look Who Kamala Harris Will Have to Fight Out for the Dem Nomination https://t.co/cGbRLYY1K0 https://t.co/eFA0Wa4Nnd,2017-07-24 08:47,889406629329989632,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
2017-07-04,1,lol rachel duffy slams cnn s anna navarro as a fraud and fake news republican,782,3640,LOL : Rachel Duffy SLAMS CNN’s Anna Navarro as a Fraud and “Fake News Republican” https://t.co/lRquEt8ZE0 https://t.co/2l7Vnb3uQ4,2017-07-12 14:44,885147873813385217,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-04,1,trump just demanded congress fund making the military great again,782,3640,Trump Just Demanded Congress Fund Making the Military Great Again https://t.co/IHTMNZ1RBU https://t.co/KkOWIRQp3f,2017-07-23 02:09,888944126300999680,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-26,1,jan former lynch attorney who covered for her is now investigating lynch,2094,4063,#jan Former Lynch Attorney Who Covered for Her is Now “Investigating” Lynch https://t.co/nQsWPiIpS9 https://t.co/4GGq93lhLV,2017-08-10 13:56,895645089007009792,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-13,1,lol anti trump resistance summoning demons to stop trump,305,957,LOL : Anti-Trump #Resistance Summoning “Demons” to Stop Trump https://t.co/wfcZ9kmqft https://t.co/igSaWMZtq5,2017-07-23 18:57,889197788667498496,"Journalist, passionate about taking information that if it is worth reading, follow me and part of the current",United States,u4JYTwWbY74J9f9DZSz3Bzw92HwEY0vEo6bOK09P68=
2017-07-04,1,heartbreaking video charlie gard s family begs trump to save his life,226,934,HEARTBREAKING VIDEO : Charlie Gard’s Family BEGS Trump to SAVE HIS LIFE https://t.co/YG63jHEsVf https://t.co/Jhy0IhNPlV,2017-07-06 22:39,883093033931112450,"FOLLOW ME, I have the most shocking news of the moment, with the best secrets of the presindete Donal Trump and much more, I hope to be able to help you,.!",United States,VZt4MIPI1tufqLMw5OSTsYMvycK7Y7CbkKva50k6Bo=
2017-07-26,1,just rt petefrt plus mccain s probably colluding with dems to set impeachment trap for trump in fact bank on it senjohnmccain,2094,4063,"#just RT petefrt: Plus McCain's probably colluding with Dems to set impeachment trap for Trump. In fact, bank on it. SenJohnMcCain… …",2017-07-30 13:38,891654154262851584,Equal Opportunity Offender. Sarcasm Advocate. Free Speech Activist. JD | Constitutional Law. #WhitesForTrump Follow me,United States,zL0WEHO3MDiLZr0DpDTtkpq1HRR33Jm9udlZ4E9B5hw=
2017-07-04,1,russian lawyer s facebook page is filled with anti trump posts,782,3640,Russian Lawyer’s Facebook Page is FILLED With Anti-Trump Posts https://t.co/6XWjjTHU49 https://t.co/JSZxBiHUzo,2017-07-13 12:33,885477213377900544,"Journalist dedicated to exclusive information, follow me and I will take the best details of amercia with the most revealing news of the day, FOLLOW ME",United States,GDIaCsORWRKfkUJsOuqsUiNcqhbHLJMWu93UFnMa6Y=
2017-07-10,1,video linda sarsour just doubled down on her anti american hate,470,1852,VIDEO : Linda Sarsour Just Doubled Down on her Anti-American HATE https://t.co/L3FldbZkjF https://t.co/nybPxE4luw,2017-07-12 15:34,885160551655108608,"Specialist in bringing the best news of the moment every day, follow me, I have the hidden secrets of Donald Trump",United States,ecaUKllXYVx1rAtb1ZN5GcDgkrcphV728YNQYIlwhYI=
2017-07-13,1,lol pocahontas challenger it takes a real indian to beat a fake one,305,957,LOL : Pocahontas Challenger “It Takes a REAL INDIAN to Beat a FAKE ONE!” https://t.co/BeK7puQp8g https://t.co/mbtTKWDb6X,2017-07-13 12:39,885478767594004480,"Journalist, passionate about taking information that if it is worth reading, follow me and part of the current",United States,u4JYTwWbY74J9f9DZSz3Bzw92HwEY0vEo6bOK09P68=
